"Field","Species","Section","Beta"
"F1","Species_1",1,3.37867163903638
"F1","Species_5",2,3.63966491632588
"F1","Species_3",3,3.48588058239628
"F1","Species_2",4,3.26131579411644
"F1","Species_4",5,3.49744934759964
"F2","Species_2",1,3.42894240146601
"F2","Species_1",2,3.19078506295273
"F2","Species_4",3,3.76137667649435
"F2","Species_5",4,3.95046472807501
"F2","Species_3",5,3.55513657609238
"F3","Species_4",1,3.3553632681639
"F3","Species_1",2,3.25580699704158
"F3","Species_3",3,3.30931430169842
"F3","Species_5",4,3.40394742846305
"F3","Species_2",5,3.34299669953467
"F4","Species_5",1,3.7691600310744
"F4","Species_2",2,3.37618069790003
"F4","Species_4",3,3.47119288201587
"F4","Species_1",4,3.17738707017905
"F4","Species_3",5,3.59276263289832
