"Field","Variety","Rep","yield"
1,"Var1",1,140.303705845113
1,"Var1",2,123.607566789005
1,"Var1",3,126.286776960126
1,"Var2",1,144.204056226001
1,"Var2",2,143.208341074578
1,"Var2",3,142.240294914355
1,"Var3",1,156.522705926983
1,"Var3",2,142.875011112324
1,"Var3",3,136.194294273584
2,"Var1",1,98.0080758997812
2,"Var1",2,99.2694942720702
2,"Var1",3,84.8988260946086
2,"Var2",1,94.1857329609278
2,"Var2",2,80.3027907668301
2,"Var2",3,80.2721081352671
2,"Var3",1,95.2162065737579
2,"Var3",2,100.313989704527
2,"Var3",3,89.0275509142036
3,"Var1",1,98.3889922646905
3,"Var1",2,109.891836225238
3,"Var1",3,106.457162679773
3,"Var2",1,129.119581257043
3,"Var2",2,116.288129708132
3,"Var2",3,107.154360695134
3,"Var3",1,124.042870666178
3,"Var3",2,118.142314242294
3,"Var3",3,124.02330653212
4,"Var1",1,97.6294322757769
4,"Var1",2,118.453629517208
4,"Var1",3,101.399261169769
4,"Var2",1,105.318004688868
4,"Var2",2,137.535473723443
4,"Var2",3,111.723262114432
4,"Var3",1,121.622321817446
4,"Var3",2,128.487021861268
4,"Var3",3,117.900195626111
5,"Var1",1,64.924362090942
5,"Var1",2,60.1551531765209
5,"Var1",3,75.2216786485637
5,"Var2",1,73.2829901266146
5,"Var2",2,68.6000592376549
5,"Var2",3,80.8507599718844
5,"Var3",1,99.8991438610619
5,"Var3",2,98.4210624799212
5,"Var3",3,93.1692389719035
