"Block","Var","gw"
"B1","C-1",27.2
"B1","C-2",29.6
"B1","C-3",24.4
"B1","C-4",36
"B1","IC-02853",36.7
"B1","IC-02866",31.6
"B1","IC-02869",22.7
"B1","IC-02874",30.2
"B1","IC-0-287",31.4
"B1","IC-02879",29.5
"B1","IC-02883",28.3
"B1","IC-02884",34.7
"B1","IC-02884",33.4
"B2","C-1",29.3
"B2","C-2",38.1
"B2","C-3",37.9
"B2","C-4",35.8
"B2","IC-03687",24.9
"B2","IC-03687",23.6
"B2","IC-03688",24.7
"B2","IC-03688",27.3
"B2","IC-03688",15.6
"B2","IC-04140",24.9
"B2","IC-04234",26.1
"B2","IC-04240",35.9
"B2","IC-04245",28.7
"B3","C-1",33.5
"B3","C-2",24.8
"B3","C-3",21.6
"B3","C-4",35.9
"B3","IC-06021",23
"B3","IC-06022",33.5
"B3","IC-06099",22.9
"B3","IC-06394",19.9
"B3","IC-06651",26.9
"B3","IC-07320",21.4
"B3","IC-07321",36.9
"B3","IC-07349",34.6
"B3","IC-07349",18.9
"B4","C-1",28.2
"B4","C-2",31.2
"B4","C-3",33.1
"B4","C-4",34.9
"B4","IC-07900",28.6
"B4","IC-07900",25.5
"B4","IC-07900",25.4
"B4","IC-07902",19.9
"B4","IC-07903",20.9
"B4","IC-07903",25.5
"B4","IC-07904",27.9
"B4","IC-07904",27
"B4","IC-07905",22.8
"B5","C-1",34.4
"B5","C-2",36.3
"B5","C-3",30.9
"B5","C-4",36.9
"B5","IC-08232",18.5
"B5","IC-08233",18.3
"B5","IC-08233",31.2
"B5","IC-08233",29
"B5","IC-08233",27.9
"B5","IC-08234",23.5
"B5","IC-08235",27.5
"B5","IC-08235",27.9
"B5","IC-08236",28.9
"B6","C-1",31.1
"B6","C-2",36.5
"B6","C-3",36.5
"B6","C-4",30.1
"B6","IC-10460",36.5
"B6","IC-10460",24.8
"B6","IC-10460",39.2
"B6","IC-10460",32.5
"B6","IC-10461",29.2
"B6","IC-10461",34.4
"B6","IC-10461",39.9
"B6","IC-10461",24.3
"B6","IC-10461",34.6
